events_per_sec,exec_ratio,unique_comms,max_files_per_proc,max_chain_depth,session,label
38.1,0.0,12.0,259.0,4.0,baseline_browsing_20260801_174650,baseline
24.9,0.0,10.0,179.0,4.0,baseline_browsing_20260801_174650,baseline
67.1,0.0,11.0,532.0,3.0,baseline_browsing_20260801_174650,baseline
43.3,0.0,11.0,370.0,4.0,baseline_browsing_20260801_174650,baseline
168.1,0.000594883997620464,14.0,1105.0,3.0,baseline_browsing_20260801_174650,baseline
78.9,0.0,9.0,596.0,3.0,baseline_browsing_20260801_174650,baseline
30.8,0.0,13.0,167.0,4.0,baseline_browsing_20260801_174650,baseline
7.5,0.0,9.0,48.0,3.0,baseline_browsing_20260801_174650,baseline
7.4,0.0,8.0,48.0,4.0,baseline_browsing_20260801_174650,baseline
66.9,0.0029895366218236174,12.0,578.0,3.0,baseline_dev_20260801_183119,baseline
5.9,0.0,4.0,48.0,3.0,baseline_dev_20260801_183119,baseline
79.6,0.04271356783919598,16.0,147.0,4.0,baseline_dev_20260801_183119,baseline
46.2,0.06926406926406926,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.4,0.06751054852320675,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.4,0.06751054852320675,11.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.2,0.06779661016949153,11.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.6,0.06866952789699571,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.1,0.06794055201698514,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.8,0.05240174672489083,24.0,84.0,5.0,baseline_dev_20260801_183119,baseline
50.2,0.06374501992031872,12.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.3,0.06911447084233262,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.0,0.06808510638297872,12.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.3,0.06911447084233262,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
27.0,0.05925925925925926,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.5,0.07032967032967033,7.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.7,0.06852248394004283,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
45.3,0.0706401766004415,6.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.3,0.06911447084233262,10.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.1,0.06941431670281996,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.3,0.06911447084233262,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.4,0.07048458149779736,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.7,0.06852248394004283,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.6,0.06866952789699571,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.7,0.06852248394004283,11.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.1,0.06794055201698514,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.0,0.06808510638297872,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.5,0.06881720430107527,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.0,0.06808510638297872,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.4,0.07048458149779736,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.3,0.06911447084233262,10.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.1,0.06941431670281996,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.1,0.06794055201698514,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.0,0.06956521739130435,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.7,0.06852248394004283,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
27.2,0.058823529411764705,10.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.3,0.06911447084233262,10.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.1,0.06941431670281996,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.2,0.06926406926406926,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.8,0.06986899563318777,9.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.1,0.06794055201698514,9.0,62.0,3.0,baseline_dev_20260801_183119,baseline
45.5,0.07032967032967033,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.2,0.06926406926406926,9.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.7,0.06708595387840671,9.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.5,0.06881720430107527,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
25.8,0.06201550387596899,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.8,0.06837606837606838,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
45.6,0.07017543859649122,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
48.5,0.06597938144329897,12.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.8,0.06837606837606838,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.9,0.06823027718550106,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.0,0.06956521739130435,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.7,0.06852248394004283,7.0,62.0,3.0,baseline_dev_20260801_183119,baseline
73.1,0.0506155950752394,15.0,133.0,4.0,baseline_dev_20260801_183119,baseline
46.6,0.06866952789699571,11.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.5,0.06881720430107527,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.8,0.06837606837606838,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.6,0.07017543859649122,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.1,0.06794055201698514,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.6,0.06866952789699571,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.0,0.06808510638297872,11.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.8,0.06694560669456066,9.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.9,0.06680584551148225,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.0,0.06956521739130435,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.8,0.06837606837606838,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.4,0.06896551724137931,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.3,0.06765327695560254,10.0,62.0,3.0,baseline_dev_20260801_183119,baseline
26.7,0.0599250936329588,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.2,0.06779661016949153,10.0,62.0,4.0,baseline_dev_20260801_183119,baseline
46.8,0.06837606837606838,11.0,62.0,4.0,baseline_dev_20260801_183119,baseline
47.1,0.06794055201698514,8.0,62.0,4.0,baseline_dev_20260801_183119,baseline
45.6,0.07017543859649122,8.0,62.0,3.0,baseline_dev_20260801_183119,baseline
46.9,0.06823027718550106,11.0,62.0,3.0,baseline_dev_20260801_183119,baseline
47.0,0.06808510638297872,9.0,62.0,3.0,baseline_dev_20260801_183119,baseline
